,video_id,textDisplay,publishedAt
0,8qRZcXIODNU,"My Dudes - Get 75% off NordVPN! Only $2.99/mo, plus you get an additional month FREE at:
https://nordvpn.com/oversimplified
Use codeword: oversimplified 

(AND ENJOY THE VIDEO!)",2019-06-28T23:42:18.000Z
0,Cln0J87vulU,"Fans: Make Napoleonic Wars

Oversimplified: War of the Bucket

Fans: We’ll take it.",2019-09-21T18:44:28.000Z
0,PjbEdZyEiMA,Uploaded on the 75th anniversary of the attack.  Clearly you put more planning into this review than the actual Allied Generals put into Operation Market Garden.,2019-09-18T01:22:26.000Z
0,jTgmCf82s3U,It could be the result of lead poisoning seeing polar bears as supernatural monsters,2019-05-19T02:14:57.000Z
0,2JsFvcSr7BA,I remember a time when the history channel showed these documentaries. Now the hold day is America pickers. 👎👎,2019-09-22T02:19:13.000Z
0,5h64_fTOUVg,It really beautiful seeing that old Frenchman beaming with pride as he remembers the Normandie,2018-12-31T00:07:57.000Z
0,tg_Wi4RpKVY,hermes just wanted to pay his rent stop judging him and his 83 jobs,2019-05-03T15:37:48.000Z
0,PmdzptbykzI,"Hey gang! Can't help but notice the comment section is a little bit on fire. That's all good with me, but one recurring complaint I've noticed has started to get under my skin - namely that my explanation of non-euclidean geometry was insufficient, or even - dare I say - inaccurate. Now this is a fair complaint, because after a lifetime of experience finding that people's eyes glaze over when I talk math at them, I concluded that interrupting a half-hour horror video with a long-winded explanation of a mathematical concept wouldn't go over too well. I put it in layman's terms and used a simple example to illustrate the point. However, since some of the more mathematically-inclined of you took offense, I now present in full a short (but comprehensive) explanation of what exactly non-euclidean geometry is.

First, we axiomatically establish euclidean geometry. Euclidean geometry has five axioms:
1. We can draw a straight line between any two points.
2. We can infinitely extend a finite straight line.
3. We can draw a circle with any center and radius.
4. All right angles are equal to one another.
5. If two lines intersect with a third line, and the sum of the inner angles of those intersections is less than 180º, then those two lines must intersect if extended far enough.

Axiom #5 is known as the PARALLEL POSTULATE. It has many equivalent statements, including the Triangle Postulate (""the sum of the angles in every triangle is 180º"") and Playfair's Axiom (""given a line and a point not on that line, there exists ONE line parallel to the given line that intersects the given point"").

Euclidean geometry is, broadly, how geometry works on a flat plane.

However, there are geometries where the parallel postulate DOES NOT hold. These geometries are called ""non-euclidean geometries"". There are, in fact, an infinite number of these geometries, and because the only defining characteristic is ""the parallel postulate does not hold"", they can be all kinds of crazy shapes. (As you can see, my explanation of ""this is just how geometry works on a curved surface"" is quite reductive, but at the same time serves to get the general impression across without going into too much detail.)

An example of a non-euclidean geometry is ""Elliptic geometry"", geometry on n-dimensional ellipses, which includes ""Spherical geometry"" as a subset. Spherical geometry is, predictably enough, how geometry works on the two-dimensional surface of a three-dimensional sphere.

In spherical geometry, ""points"" are defined the same as in euclidean geometry, but ""line"" is redefined to be ""the shortest distance between two points over the surface of the sphere"", since there is no such thing as a ""straight line"" on a curved surface. All ""lines"" in spherical geometry are segments of ""great circles"" (which is defined as the set of points that exist at the intersection between the sphere and a plane passing through the center of that sphere).

The axiom that separates spherical geometry from euclidean geometry and replaces the parallel postulate is ""5. There are NO parallel lines"". In spherical geometry, every line is a segment of a great circle, and any two great circles intersect at exactly two points. If two lines intersect when extended, they cannot be parallel, and thus there are no parallel lines in spherical geometry.

Since the Parallel Postulate is equivalent to Playfair's Axiom, the fact that no parallel lines exist in spherical geometry negates Playfair's Axiom, which thus negates the Parallel Postulate and defines spherical geometry as a non-euclidean geometry. Also, since the Triangle Postulate is another equivalent property to the Parallel Postulate, it is thus negated in spherical geometry. Hence, my use in-video of an example of a triangle drawn on the surface of a sphere whose inner angles sum greater than 180º.

Hope that cleared things up (and helped explain why I didn't want to say ""see, non-euclidean geometry is just a geometry where Euclid's Parallel Postulate doesn't hold - hold on, let me get the chalkboard to explain what THAT is-"" in the video)

Peace!

-R ✌️",2018-11-09T17:11:02.000Z
0,npwM2touF08,"""Throw your soldiers into positions whence there is no escape, and they 
will prefer death to flight. If they will face death, there is nothing 
they may not achieve.""

– Sun Tzu",2016-09-10T02:23:50.000Z
0,Sj2UksH_nSI,Hey could someone ask Tribune Aquila if it's ok to like this video? Thanks.,2019-08-14T23:09:05.000Z
0,ryxXN-0SHmw,That was one of the most popular maps on Battlefield 1942. I never knew the backstory,2019-03-10T18:08:33.000Z
0,9VMrP7S1RS4,"The primary source for this battle is from Alexios' daughter Anna Komnene, the first female historian in the western world. She documented her father's entire reign from start to finish in her famous book The Alexiad. It's a good read, I highly recommend it.",2019-07-29T22:54:04.000Z
0,XqZKwqNgMjw,"*lights a cigarette*
Feature History?
*takes a hit*
thats a name i haven't heard in a long time",2019-05-15T14:53:40.000Z
0,f81-E8-MdCU,"So CORRECTIONS like usual;
- Most of the flags and portraits in this video are entirely fictional; not many photos from that time.
- The pronunciation is terrible, I don't have any Mongol friends to help.",2019-07-31T01:53:50.000Z
0,EiYm20F9WXU,"Did you guys notice the new style? We wanted to add more of our personality into this one, and finally adding sound FX to our videos! YAY.
Let us know what you thought :)",2019-05-30T01:02:14.000Z
0,WuDy1XOU6_E,I like how this appeared in my feed,2018-07-13T09:59:55.000Z
0,5iPH-br_eJQ,"As you may have noticed, we like to blow stuff up on this channel. So when the International Red Cross approached us to collaborate on a video about nuclear weapons, we were more than excited. Until we did the research. It turned out we were a bit oblivious off the real impact of nuclear weapons in the real world, on a real city. And especially, how helpless even the most developed nations on earth would be if an attack occurred today.
This collaboration was a blast (no pun intended) and we want to say a huge thank you to the International Red Cross! Please check out https://www.notonukes.org to learn more about nuclear weapons and what you can do to stop them.",2019-10-11T20:22:06.000Z
0,h6fcK_fRYaI,"A Big Thanks to Andy Weir for allowing us to use his story!
If you want to support us, please check out those beautiful Egg posters we made: http://shop.kurzgesagt.org",2019-08-29T12:13:52.000Z
0,M4-L8UgPkOk,"Steve is a really smart guy if you ignore the British accent""

**angry tea clink noises**",2019-10-13T19:35:32.000Z
0,Lh0x54GC1sw,"Do me a favor and PLEASE CONSIDER SHARING THIS VIDEO.  I'm a bit worried it won't be distributed due to images in the video and the topic in general.... but I believe this is a positive thing and it's something people on both sides of the gun debate can get behind.  I've been talking to people about this type of technology and in an upcoming video I will explain how this is simply one component in a much larger suite of tools which can be used.

Are there flaws in this method? Absolutely.  Is it possible to spoof a system like this?  Yes... this could be easily tricked.... but would be perps would have to take the time to worry about it focus on tricking it.  I personally think the main benefit is providing real time situational awareness.  Another limitation is that it would identify toy guns as real guns and send a notification to authorities.  The purpose of this video is to start the discussion because systems like this are frankly already here and in use.  We don't claim to have all the answers, but we decided to use our engineering skills to try to make a positive step.  We've found support amongst both sides of the gun debate, and in today's political climate that alone feels like a step in the right direction.


If you'd like to reach out, we can be reached through a contact form here: https://www.lantern.systems/gun-detector",2019-09-29T13:20:03.000Z
0,lvTqbM5Dq4Q,"If you lose 5 seconds of concentration over the entire 17.5 minutes, you will be lost.",2019-05-01T14:07:59.000Z
0,Va5T2KcYiOw,I love your Einstein's stick figure with that hair,2019-10-15T13:21:59.000Z
0,5fYkPljB9Zk,"“Don’t worry I’m not waisting food, it’s vegetables.” -the backyard scientist 2017",2017-10-21T13:59:02.000Z
0,Sl0BHueSjvA,"""Honey? Did you hear that bang?""
""Yes dear.""
""I think the neighbor's kids are doing something again.""
""Yes dear.""
""It sounds like gun shots.""
""Yes dear.""
""Shouldn't we call the police?""
""No dear.""
""Why not?""
""They're nerds and geeks dear.""
""Oh.""",2016-04-10T14:33:18.000Z
0,pVo-S9ns2_A,this is the original roast yourself challenge,2016-06-13T06:31:34.000Z
0,JrTFKHYMEk4,Remember being 15 watching this and having the biggest crush,2017-09-07T06:21:52.000Z
0,C4zfLCWGdsk,Why do think people flock to and believe these types of claims so readily? Is pseudoscience easier to popularize than science?,2018-11-10T13:04:31.000Z
0,SqV5a_E2TCM,We're actually aliens playing a human simulation.,2016-05-07T19:47:59.000Z
0,RR8dqCCZ_IY,"*”I swear this will work.*
*trust me.”*
**drops head first in rodent glue**

*oh.*",2019-10-14T17:38:24.000Z
0,XtgJjLKxoxk,I want to know how they milk almonds for almond milk.,2019-10-16T14:04:16.000Z
0,IPK2m0qRZx4,"2
 0
  1
   9
    ?",2019-03-12T13:07:08.000Z
0,Ob-54OftZlE,"I watched this when I was 5 or 4

Edit:thx for 2 like it the most I ever got!",2017-04-20T01:12:52.000Z
0,7i4b1j6px9U,"When no one love you
don't worry guys
Mosquito always there for you",2019-08-09T21:30:28.000Z
0,5bEimiIZ9dA,"My dog used to have ticks sometimes in the summer and I would take them out with a tick tweezer, put them in a piece of paper towel and I would burn it with a lighter. The tick would explode and burn and that's really the only way to get rid of those spawns of hell.",2019-09-04T23:21:59.000Z
